stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
BOROU_01,60A,48.5870454258,7.6686843257,Boeuf Rouge,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOROU_02,60B,48.5869914143,7.6680161534,Boeuf Rouge,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOSCO_01,61A,48.5818155137,7.7028130607,Bosco,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOSCO_02,61B,48.5817356171,7.702939985,Bosco,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOUGU_01,62A,48.5403580841,7.7689942216,Bouguer,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOUGU_02,62B,48.5408183559,7.7697563543,Bouguer,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOULO_01,739A,48.5395785727,7.7877459302,Boulogne,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOULO_02,739B,48.5401093439,7.788112479,Boulogne,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOURG_01,63A,48.5479720725,7.7480978006,Bourgogne,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOURG_02,63B,48.5478963762,7.7481432952,Bourgogne,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOUVR_01,64A,48.6349638507,7.7313560289,Bouvreuils,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOUVR_02,64B,48.6348835584,7.7315647865,Bouvreuils,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRASS_01,795A,48.5932960819,7.7140285484,Brasseurs,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRASS_02,795B,48.5932725366,7.7137445208,Brasseurs,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BREME_01,65A,48.5992115631,7.7908639982,Brême,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BREME_02,65B,48.5988165496,7.7910527354,Brême,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BROGL_01,67A,48.5847727664,7.7494862804,Broglie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BROGL_02,67B,48.5846390055,7.7489703184,Broglie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BROGL_03,67C,48.5847316743,7.7482345894,Broglie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUCH_01,68A,48.5700787212,7.7110236831,Bruche,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUCH_02,68B,48.5702214673,7.7112981654,Bruche,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUNI_01,69C,48.5858402275,7.761466278,Brant Université,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUNI_02,69A,48.5855609406,7.7616899203,Brant Université,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUNI_03,69B,48.585629149,7.7612687997,Brant Université,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUXE_01,70A,48.584250191,7.7753551304,Bruxelles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRUXE_02,70B,48.5842788021,7.775619328,Bruxelles,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRXEL_01,70A,48.5842406804,7.7752965909,Bruxelles (Marché),http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BRXEL_02,70B,48.5842779484,7.7756175015,Bruxelles (Marché),http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
